Site Name;Offtake Guarantee;Expected Utilisation%;Degradation;As-Built kWh;Guaranteed Generation (kWh);Unavailability kWh;Correct kWh;Actual Generation (kWh);Shortfall (kWh);Performance Rate;Notes
Alpine Heath Residential ;YES;90,0%;0,8937;63 342;50948;0;50 948;34 015;-16 933;67;Testing 
Checkrite Inanda;YES;90,0%;0,89595;94 580;76265;0;76 265;70 660;-5 606;93;Testing 
Demco;YES;80,0%;0,7964;428 379;272929;0;272 929;154 104;-118 825;56;Testing 
Golden Spot Resort;YES;90,0%;0,89595;45 617;36783;0;36 783;18 829;-17 955;51;Testing 
Golden Spot Shops;YES;90,0%;0,89595;40 942;33014;0;33 014;29 629;-3 385;90;Testing 
Hilston Rotoflo;YES;90,0%;0,89595;319 608;257718;0;257 718;241 671;-16 046;94;Testing 
Huis Herfsblaar;YES;90,0%;0,89595;355 254;286461;0;286 461;255 642;-30 819;89;Testing 
Mdluli;YES;80,0%;0,7964;200 775;127918;0;127 918;135 857;7 939;106;Testing 
Meredale Heights ;YES;90,0%;0,89595;73 186;59014;0;59 014;56 647;-2 367;96;Testing 
Opal Students ;YES;90,0%;0,89595;66 026;53240;0;53 240;43 505;-9 736;82;Testing 
Plastiplate ;YES;75,0%;0,746625;125 073;70037;0;70 037;66 482;-3 555;95;Testing 
Riverside Lodge ;YES;85,0%;0,846175;225 937;162505;0;162 505;163 021;517;100;Testing 
The Alec;YES;92,5%;0,9208375;81 158;69128;0;69 128;53 599;-15 529;78;Testing 
Watt Place Rotoflo;YES;90,0%;0,89595;312 107;251669;0;251 669;225 514;-26 155;90;Testing 
SR Morula TF 1;YES;90,0%;0,89595;96 849;78094;0;78 094;73 049;-5 045;94;Testing 
SR Morula TF 2;YES;90,0%;0,89595;100 238;80827;0;80 827;73 438;-7 390;91;Testing 
Olievenhoutbosch 1;YES;90,0%;0,89595;524 973;423315;0;423 315;281 939;-141 376;67;Testing 
Olievenhoutbosch 2;YES;90,0%;0,89595;138 565;111733;0;111 733;76 375;-35 358;68;Testing 
IPID - Floor 6;YES;90,0%;0,89595;89 076;71827;0;71 827;29 922;-41 905;42;Testing 
IPID - Floor 4;YES;90,0%;0,89595;89 076;71827;0;71 827;41 551;-30 276;58;Testing 
Engen Lotus Gardens;YES;90,0%;0,89595;31 637;25511;0;25 511;15 159;-10 351;59;Testing 
Engen Kaalfontein ;YES;90,0%;0,89595;190 645;153727;0;153 727;0;-153 727;0;Testing 
Alpine Heath Resort;YES;90,0%;0,89595;380 893;307135;0;307 135;27 917;-279 218;9;Testing 
