Site Name;Date;Availability ;Downtime (days);Cause of downtime ;Technical Events ;Energy Impact;Other Comments
21 Melrose;Sept-24;;;;;;
21 Melrose;Oct-24;;;;;;
21 Melrose;Nov-24;;;;;;
21 Melrose;Dec-24;;;;;;
21 Melrose;Jan-25;;;;;;
21 Melrose;Feb-25;"Underperforming
Low demand
Excessive rain and cloudy weather for approx. 2 weeks
-50% less production compared to Feb 2024
Avg load: Feb 2024: 200kW; Feb 2025 150-160kW";;;;;
21 Melrose;Mar-25;"Underperforming due to Low demand
System performance is >65% expected production 
System Performance improved by 9% compared to last month
System Performance decreased by 55% compared to march 2024
System Performance affected by rain on some days";;;;;
21 Melrose;Apr-25;"1. Underperformance due to low demand
2. Production is 63% of expected 
3. Production is 45% Compared to April 2024
4. Production is the same compared to last month";;;;;
21 Melrose;May-25;"1. Production is 102% of the expected energy.
2. Production is 16% less compared to May 2024.
3. Production is 39% more compared to last month.
4. There is no downtime on the solar, Eskom, and communication.";;;;;
21 Melrose;Jun-25;"1. Production is 108% of the expected energy.
2. Production is 6% less compared to June 2024.
3. Production is 6% more compared to last month.
4. There is no downtime on the solar, Eskom, and communication.";;;;;
21 Melrose;Jul-25;"1. Production is 96% of the expected energy.
2. Production is 10% less compared to Jul 2024.
3. Production is 12% less compared to last month.
4. There is no downtime on the solar, Eskom, and communication.";;;;;
21 Melrose;Aug-25;"1. Production is 76% of the expected energy.
2. Production is 6% less compared to Aug 2024.
3. Production is 20% less compared to last month.
4. System performed moderately, client loads are slightly low.  ";;;;;
21 Melrose;Sept-25;"1. Production is 60% of the expected energy.
2. Production is 146% less compared to Sep 2024.
3. Production is 16% less compared to last month.
4. System performed moderately; client load demand is low.  ";;;;;
21 Melrose;Oct-25;"1. Production is 67% of the expected energy.
2. Production is 1% more compared to Oct 2024.
3. Production is 7% more compared to last month.
4. System performed poorly; client load demand is low.  ";;;;;
21 Melrose;Nov-25;"1. Production is 61% of the expected energy.
2. Production is 20% less compared to Nov 2024.
3. Production is 3% less compared to last month.
4. System performed poorly; client load demand is low.  ";;;;;
21 Melrose;Dec-25;" System performed poorly; client load demand is low.";;;;;
21 Melrose;Jan-26;" System performed poorly; client load demand is low.";;;;;
21 Melrose;Feb-26;" System performed poorly; client load demand is low.";;;;;
21 Melrose;Mar-26;" System performed poorly; client load demand is low.";;;;;
21 Melrose;Apr-26;The system performed poorly due to load demand. The system was on bu pass from the 22nd-30th, there was a phase rotation from city power, the issue is now resolved ;;;;;
21 Melrose;May-26;Performend poorly due to load demand;;;;;
21 Melrose;Jun-26;;;;;;
21 Melrose;Jul-26;;;;;;
21 Melrose;Aug-26;;;;;;
African Global Plastics;Sept-24;;;;;;
African Global Plastics;Oct-24;;;;;;
African Global Plastics;Nov-24;;;;;;
African Global Plastics;Dec-24;;;;;;
African Global Plastics;Jan-25;;;;;;
African Global Plastics;Feb-25;"Performance decreased by 25% due to rainy weather
-36% lower production, compared to Feb 2024
Intermittent comms, IOT sim required";;;;;
African Global Plastics;Mar-25;Fix Comms - Install IoT simcard;;;;;
African Global Plastics;Apr-25;Fix Comms - Install IoT simcard;;;;;
African Global Plastics;May-25;"1. Production is 96% of the expected energy.
2. Production is 17% less compared to May 2024.
3. Production is 14% more compared to last month.
4. The system is performing well, monitoring platform was offline for 31 day, to install IoT sim to improve internet stability ";;;;;
African Global Plastics;Jun-25;"1. Production is 82% of the expected energy.
2. Production is 27% less compared to Jun 2024.
3. Production is 14% less compared to last month.
4. The system is performing moderate, monitoring platform was offline for 30 days, to install IoT sim to improve internet stability ";;;;;
African Global Plastics;Jul-25;"1. Production is 20% of the expected energy.
2. Production is 81% less compared to Jul 2024.
3. Production is 62% less compared to last month.
4. The system is performing poor. The reading are incorrect  from monitoring. Billing meter is offline.";;;;;
African Global Plastics;Aug-25;"1. Production is 60% of the expected energy.
2. Production is 18% less compared to Aug 2024.
3. Production is 40% more compared to last month.
4. The system is performing poorly. The reading are incorrect on the billing meter. ";;;;;
African Global Plastics;Sept-25;"1. Production is 56% of the expected energy.
2. Production is 43% less compared to Sep 2024.
3. Production is 4% less compared to last month.
4. The system is performing poorly. The system is offline, and the system needs site attendance  ";;;;;
African Global Plastics;Oct-25;"1. Production is 58% of the expected energy.
2. Production is 54% less compared to Oct 2024.
3. Production is 2% more compared to last month.
4. The system is performing poorly. The system is offline, The system was under performing due to faulty controls logger; issue was resoved. System performance should increase next month";;;;;
African Global Plastics;Nov-25;"1. Production is 51% of the expected energy.
2. Production is 52% less compared to Nov 2024.
3. Production is 7% less compared to last month.
4. System performed poorly. controls system has faulty software. Logger to be replaced";;;;;
African Global Plastics;Dec-25; System performed poorly. controls system has faulty software. Logger to be replaced;;;;;
African Global Plastics;Jan-26;Performed poorly due to controls malfunction ;;;;;
African Global Plastics;Feb-26;Performed poorly due to controls' malfunction, to be fixed this month;;;;;
African Global Plastics;Mar-26;Performed poorly due to load demand;;;;;
African Global Plastics;Apr-26;Performed poorly due to load demand;;;;;
African Global Plastics;May-26;Performing poorly due to slightly reduced load demand;;;;;
African Global Plastics;Jun-26;30 days ;0;None;;;
African Global Plastics;Jul-26;;;;;;
African Global Plastics;Aug-26;;;;;;
Alpine Heath Residential ;Sept-24;;;;;;
Alpine Heath Residential ;Oct-24;;;;;;
Alpine Heath Residential ;Nov-24;;;;;;
Alpine Heath Residential ;Dec-24;;;;;;
Alpine Heath Residential ;Jan-25;31 days ;None;None;Internet connectivity issues ;Energy production was limited by reduced load demand;
Alpine Heath Residential ;Feb-25;28 days;None;None;Internet connectivity issues ;Energy production was limited by reduced load demand;
Alpine Heath Residential ;Mar-25;31 days ;None;None;Internet connectivity issues ;Energy production was limited by reduced load demand;
Alpine Heath Residential ;Apr-25;30 days ;;;Internet connectivity issues ;Energy production was limited by reduced load demand;
Alpine Heath Residential ;May-25;0;30;;Internet connectivity issues ;Energy production was limited by reduced load demand;
Alpine Heath Residential ;Jun-25;26 days;4;Inverter was offline ;Internet connectivity issues ;Energy production was limited by reduced load demand;
Alpine Heath Residential ;Jul-25;0 days ;31 days ;System shutdown ;Technical Fault. Inverter offline due to repairs;No solar production due to technical fault ;
Alpine Heath Residential ;Aug-25;31 days ;0;;None;Energy production was limited by reduced load demand;
Alpine Heath Residential ;Sept-25;31 days ;0;;None ;produced as expected ;
Alpine Heath Residential ;Oct-25;22 days;19-27, 9 days;PV Breaker tripped ;Faulty AC breakers ;Energy production was limited by reduced load demand & technical event;
Alpine Heath Residential ;Nov-25;30 days ;0;;None;Energy production was limited by reduced load demand;
Alpine Heath Residential ;Dec-25;31 days;0;None;Internet connectivity issues ;Energy production was limited by reduced load demand;
Alpine Heath Residential ;Jan-26;31 days ;0;;None;Low energy demand reduced production ;
Alpine Heath Residential ;Feb-26;28 days ;0;;None ;Energy production was limited by reduced load demand;
Alpine Heath Residential ;Mar-26;21 days ;21-31, 10 days;PV Breaker tripped ;Faulty DC breakers ;Energy production was limited by reduced load demand & technical event;
Alpine Heath Residential ;Apr-26;30 days ;28-30, 3 days;PV Breaker tripped ;Faulty DC breakers ;Energy production was limited by technical event;
Alpine Heath Residential ;May-26;31 days ;01-18, 18 days;System isolated for maintenance;Faulty DC breakers ;Energy production was limited by reduced load demand & technical event;
Alpine Heath Residential ;Jun-26;30 days ;0;None;None ;Energy production was limited by reduced load demand;N/A
Alpine Heath Residential ;Jul-26;;;;;;
Alpine Heath Residential ;Aug-26;;;;;;
Alpine Heath Resort;Sept-24;;;;;;
Alpine Heath Resort;Oct-24;;;;;;
Alpine Heath Resort;Nov-24;;;;;;
Alpine Heath Resort;Dec-24;;;;;;
Alpine Heath Resort;Jan-25;;;;;;
Alpine Heath Resort;Feb-25;;;;;;
Alpine Heath Resort;Mar-25;;;;;;
Alpine Heath Resort;Apr-25;;;;;;
Alpine Heath Resort;May-25;;;;;;
Alpine Heath Resort;Jun-25;;;;;;
Alpine Heath Resort;Jul-25;31 days;N/A;N/A;N/A;N/A;system not commissioned 
Alpine Heath Resort;Aug-25;31 days;N/A;N/A;N/A;N/A;system not commissioned 
Alpine Heath Resort;Sept-25;30 days;N/A;N/A;N/A;N/A;system not commissioned 
Alpine Heath Resort;Oct-25;31 days;N/A;N/A;N/A;N/A;system not commissioned 
Alpine Heath Resort;Nov-25;30 days;N/A;N/A;N/A;N/A;system not commissioned 
Alpine Heath Resort;Dec-25;31 days;N/A;N/A;N/A;N/A;system not commissioned 
Alpine Heath Resort;Jan-26;31 days;N/A;N/A;N/A;N/A;system not commissioned 
Alpine Heath Resort;Feb-26;28 days;N/A;N/A;N/A;N/A;system not commissioned 
Alpine Heath Resort;Mar-26;31 days;N/A;N/A;N/A;N/A;system not commissioned 
