Site Name;Date;Measured Value (kWh)
21 Melrose;Jan-24;1815
21 Melrose;Feb-24;2295
21 Melrose;Mar-24;2474
21 Melrose;Apr-24;2136
21 Melrose;May-24;2212
21 Melrose;Jun-24;1863
21 Melrose;Jul-24;1943
21 Melrose;Aug-24;1710
21 Melrose;Sept-24;1579
21 Melrose;Oct-24;1593
21 Melrose;Nov-24;1794
21 Melrose;Dec-24;1794
21 Melrose;Jan-25;1992
21 Melrose;Feb-25;1458
21 Melrose;Mar-25;1382
21 Melrose;Apr-25;1183
21 Melrose;May-25;1860
21 Melrose;Jun-25;1756,6
21 Melrose;Jul-25;1742
21 Melrose;Aug-25;1613
21 Melrose;Sept-25;1358,7
21 Melrose;Oct-25;1601
21 Melrose;Nov-25;1444
21 Melrose;Dec-25;1375
21 Melrose;Jan-26;1549
21 Melrose;Feb-26;1362
21 Melrose;Mar-26;1237
21 Melrose;Apr-26;830
21 Melrose;May-26;1169,9
21 Melrose;Jun-26;
21 Melrose;Jul-26;
21 Melrose;Aug-26;
21 Melrose;Sept-26;
21 Melrose;Oct-26;
21 Melrose;Nov-26;
21 Melrose;Dec-26;
African Global Plastics;Jan-24;23024
African Global Plastics;Feb-24;23235
African Global Plastics;Mar-24;23235
African Global Plastics;Apr-24;19307
African Global Plastics;May-24;18418
African Global Plastics;Jun-24;15949
African Global Plastics;Jul-24;17174
African Global Plastics;Aug-24;13588
African Global Plastics;Sept-24;20254
African Global Plastics;Oct-24;27693
African Global Plastics;Nov-24;24041
African Global Plastics;Dec-24;25076
African Global Plastics;Jan-25;22439
African Global Plastics;Feb-25;14790
African Global Plastics;Mar-25;15371
African Global Plastics;Apr-25;13930
African Global Plastics;May-25;15263
African Global Plastics;Jun-25;11722,16
African Global Plastics;Jul-25;3209
African Global Plastics;Aug-25;11143
African Global Plastics;Sept-25;11503
African Global Plastics;Oct-25;12856
African Global Plastics;Nov-25;11518
African Global Plastics;Dec-25;12208
African Global Plastics;Jan-26;14027
African Global Plastics;Feb-26;12261
African Global Plastics;Mar-26;10788
African Global Plastics;Apr-26;9392,09
African Global Plastics;May-26;11425,9
African Global Plastics;Jun-26;
African Global Plastics;Jul-26;
African Global Plastics;Aug-26;
African Global Plastics;Sept-26;
African Global Plastics;Oct-26;
African Global Plastics;Nov-26;
African Global Plastics;Dec-26;
Alpine Heath Residential ;Jan-24;
Alpine Heath Residential ;Feb-24;
Alpine Heath Residential ;Mar-24;
Alpine Heath Residential ;Apr-24;
Alpine Heath Residential ;May-24;
Alpine Heath Residential ;Jun-24;
Alpine Heath Residential ;Jul-24;
Alpine Heath Residential ;Aug-24;
Alpine Heath Residential ;Sept-24;
Alpine Heath Residential ;Oct-24;
Alpine Heath Residential ;Nov-24;
Alpine Heath Residential ;Dec-24;
Alpine Heath Residential ;Jan-25;2400
Alpine Heath Residential ;Feb-25;3000
Alpine Heath Residential ;Mar-25;3144
Alpine Heath Residential ;Apr-25;2310
Alpine Heath Residential ;May-25;3866
Alpine Heath Residential ;Jun-25;3102
Alpine Heath Residential ;Jul-25;
Alpine Heath Residential ;Aug-25;4721
Alpine Heath Residential ;Sept-25;4200
Alpine Heath Residential ;Oct-25;3499
Alpine Heath Residential ;Nov-25;4045
Alpine Heath Residential ;Dec-25;4277
Alpine Heath Residential ;Jan-26;3071
Alpine Heath Residential ;Feb-26;3013
Alpine Heath Residential ;Mar-26;2340,8
Alpine Heath Residential ;Apr-26;1505,4
Alpine Heath Residential ;May-26;1467
Alpine Heath Residential ;Jun-26;2778
Alpine Heath Residential ;Jul-26;
Alpine Heath Residential ;Aug-26;
Alpine Heath Residential ;Sept-26;
Alpine Heath Residential ;Oct-26;
Alpine Heath Residential ;Nov-26;
Alpine Heath Residential ;Dec-26;
BP Parys ;Jan-24;
BP Parys ;Feb-24;
BP Parys ;Mar-24;
BP Parys ;Apr-24;
BP Parys ;May-24;
BP Parys ;Jun-24;
BP Parys ;Jul-24;
BP Parys ;Aug-24;
BP Parys ;Sept-24;
BP Parys ;Oct-24;
BP Parys ;Nov-24;
BP Parys ;Dec-24;
BP Parys ;Jan-25;5900
BP Parys ;Feb-25;4277
BP Parys ;Mar-25;4770
BP Parys ;Apr-25;3375
BP Parys ;May-25;3507
BP Parys ;Jun-25;2400
BP Parys ;Jul-25;2169
BP Parys ;Aug-25;968,6
BP Parys ;Sept-25;2001,5
BP Parys ;Oct-25;3111
BP Parys ;Nov-25;1605
BP Parys ;Dec-25;
BP Parys ;Jan-26;
BP Parys ;Feb-26;6068
BP Parys ;Mar-26;4800
BP Parys ;Apr-26;4318
BP Parys ;May-26;3727,7
BP Parys ;Jun-26;
BP Parys ;Jul-26;
BP Parys ;Aug-26;
BP Parys ;Sept-26;
BP Parys ;Oct-26;
BP Parys ;Nov-26;
BP Parys ;Dec-26;
Bendstore Plaza Shops;Jan-24;7453
Bendstore Plaza Shops;Feb-24;10174
Bendstore Plaza Shops;Mar-24;12197
Bendstore Plaza Shops;Apr-24;9850
Bendstore Plaza Shops;May-24;10329
Bendstore Plaza Shops;Jun-24;9684
Bendstore Plaza Shops;Jul-24;10193
Bendstore Plaza Shops;Aug-24;9840
Bendstore Plaza Shops;Sept-24;3277
Bendstore Plaza Shops;Oct-24;12496
Bendstore Plaza Shops;Nov-24;12909
Bendstore Plaza Shops;Dec-24;12587
Bendstore Plaza Shops;Jan-25;13816
Bendstore Plaza Shops;Feb-25;11397
Bendstore Plaza Shops;Mar-25;12740
Bendstore Plaza Shops;Apr-25;9167
Bendstore Plaza Shops;May-25;9630
Bendstore Plaza Shops;Jun-25;9081,44
Bendstore Plaza Shops;Jul-25;9450
Bendstore Plaza Shops;Aug-25;10695
Bendstore Plaza Shops;Sept-25;8585
Bendstore Plaza Shops;Oct-25;9077,9
Bendstore Plaza Shops;Nov-25;10382
Bendstore Plaza Shops;Dec-25;13631
Bendstore Plaza Shops;Jan-26;11296
Bendstore Plaza Shops;Feb-26;11241,78046
Bendstore Plaza Shops;Mar-26;10628
Bendstore Plaza Shops;Apr-26;8541,19
Bendstore Plaza Shops;May-26;9563,61
Bendstore Plaza Shops;Jun-26;
Bendstore Plaza Shops;Jul-26;
Bendstore Plaza Shops;Aug-26;
Bendstore Plaza Shops;Sept-26;
Bendstore Plaza Shops;Oct-26;
Bendstore Plaza Shops;Nov-26;
Bendstore Plaza Shops;Dec-26;
Bendstore Spar;Jan-24;55000
Bendstore Spar;Feb-24;46799
Bendstore Spar;Mar-24;40582
Bendstore Spar;Apr-24;39615
Bendstore Spar;May-24;39494
Bendstore Spar;Jun-24;35378
Bendstore Spar;Jul-24;38293
Bendstore Spar;Aug-24;38554
Bendstore Spar;Sept-24;37782
Bendstore Spar;Oct-24;47662
Bendstore Spar;Nov-24;48184
Bendstore Spar;Dec-24;44138
Bendstore Spar;Jan-25;52262
Bendstore Spar;Feb-25;40904
Bendstore Spar;Mar-25;45751
Bendstore Spar;Apr-25;30758
Bendstore Spar;May-25;34925
Bendstore Spar;Jun-25;29716,71
Bendstore Spar;Jul-25;27958
Bendstore Spar;Aug-25;30682
Bendstore Spar;Sept-25;44171
Bendstore Spar;Oct-25;53279
Bendstore Spar;Nov-25;44434
Bendstore Spar;Dec-25;54661
Bendstore Spar;Jan-26;47457
Bendstore Spar;Feb-26;49608,85332
Bendstore Spar;Mar-26;41208
Bendstore Spar;Apr-26;36936,35
Bendstore Spar;May-26;38743,02
Bendstore Spar;Jun-26;
Bendstore Spar;Jul-26;
Bendstore Spar;Aug-26;
Bendstore Spar;Sept-26;
Bendstore Spar;Oct-26;
Bendstore Spar;Nov-26;
Bendstore Spar;Dec-26;
Beyerskloof;Jan-24;8244
Beyerskloof;Feb-24;7277
Beyerskloof;Mar-24;6614
Beyerskloof;Apr-24;4053
Beyerskloof;May-24;3743
Beyerskloof;Jun-24;3473
Beyerskloof;Jul-24;4260
Beyerskloof;Aug-24;5497
Beyerskloof;Sept-24;2600
Beyerskloof;Oct-24;8200
Beyerskloof;Nov-24;6700
Beyerskloof;Dec-24;8100
Beyerskloof;Jan-25;9900
Beyerskloof;Feb-25;9200
Beyerskloof;Mar-25;4480
Beyerskloof;Apr-25;4096
Beyerskloof;May-25;3388
Beyerskloof;Jun-25;2306,13
Beyerskloof;Jul-25;2919
Beyerskloof;Aug-25;5355
Beyerskloof;Sept-25;8600
Beyerskloof;Oct-25;10599
Beyerskloof;Nov-25;12569
Beyerskloof;Dec-25;13572
Beyerskloof;Jan-26;13416
Beyerskloof;Feb-26;10034,177
Beyerskloof;Mar-26;10400
Beyerskloof;Apr-26;7344,6
Beyerskloof;May-26;5508,9
Beyerskloof;Jun-26;
Beyerskloof;Jul-26;
Beyerskloof;Aug-26;
Beyerskloof;Sept-26;
Beyerskloof;Oct-26;
Beyerskloof;Nov-26;
Beyerskloof;Dec-26;
Buffalo Rock;Jan-24;
Buffalo Rock;Feb-24;
Buffalo Rock;Mar-24;
Buffalo Rock;Apr-24;
Buffalo Rock;May-24;
Buffalo Rock;Jun-24;
Buffalo Rock;Jul-24;
Buffalo Rock;Aug-24;
Buffalo Rock;Sept-24;
Buffalo Rock;Oct-24;
Buffalo Rock;Nov-24;
Buffalo Rock;Dec-24;
Buffalo Rock;Jan-25;
Buffalo Rock;Feb-25;
Buffalo Rock;Mar-25;
Buffalo Rock;Apr-25;
Buffalo Rock;May-25;
Buffalo Rock;Jun-25;
Buffalo Rock;Jul-25;
Buffalo Rock;Aug-25;
Buffalo Rock;Sept-25;
Buffalo Rock;Oct-25;1109
Buffalo Rock;Nov-25;
Buffalo Rock;Dec-25;
Buffalo Rock;Jan-26;
Buffalo Rock;Feb-26;
Buffalo Rock;Mar-26;
Buffalo Rock;Apr-26;
Buffalo Rock;May-26;
Buffalo Rock;Jun-26;
Buffalo Rock;Jul-26;
Buffalo Rock;Aug-26;
Buffalo Rock;Sept-26;
Buffalo Rock;Oct-26;
Buffalo Rock;Nov-26;
Buffalo Rock;Dec-26;
Checkers De Aar;Jan-24;
Checkers De Aar;Feb-24;
Checkers De Aar;Mar-24;
Checkers De Aar;Apr-24;
Checkers De Aar;May-24;
Checkers De Aar;Jun-24;
Checkers De Aar;Jul-24;
Checkers De Aar;Aug-24;
Checkers De Aar;Sept-24;
Checkers De Aar;Oct-24;
Checkers De Aar;Nov-24;
Checkers De Aar;Dec-24;
Checkers De Aar;Jan-25;31100
Checkers De Aar;Feb-25;23180
Checkers De Aar;Mar-25;20838
Checkers De Aar;Apr-25;16626
Checkers De Aar;May-25;15218
Checkers De Aar;Jun-25;12425,8
Checkers De Aar;Jul-25;13246
Checkers De Aar;Aug-25;16953
Checkers De Aar;Sept-25;19367
Checkers De Aar;Oct-25;25648,18
Checkers De Aar;Nov-25;26677
Checkers De Aar;Dec-25;30286
Checkers De Aar;Jan-26;30117
Checkers De Aar;Feb-26;22084
Checkers De Aar;Mar-26;22201
Checkers De Aar;Apr-26;16660,7
Checkers De Aar;May-26;13372,29
Checkers De Aar;Jun-26;
Checkers De Aar;Jul-26;
Checkers De Aar;Aug-26;
Checkers De Aar;Sept-26;
Checkers De Aar;Oct-26;
Checkers De Aar;Nov-26;
Checkers De Aar;Dec-26;
Checkers Silverlakes Gen;Jan-24;
Checkers Silverlakes Gen;Feb-24;
Checkers Silverlakes Gen;Mar-24;
Checkers Silverlakes Gen;Apr-24;
Checkers Silverlakes Gen;May-24;
Checkers Silverlakes Gen;Jun-24;
Checkers Silverlakes Gen;Jul-24;
Checkers Silverlakes Gen;Aug-24;
Checkers Silverlakes Gen;Sept-24;
Checkers Silverlakes Gen;Oct-24;
Checkers Silverlakes Gen;Nov-24;
Checkers Silverlakes Gen;Dec-24;
Checkers Silverlakes Gen;Jan-25;
Checkers Silverlakes Gen;Feb-25;
Checkers Silverlakes Gen;Mar-25;17913
Checkers Silverlakes Gen;Apr-25;14938
Checkers Silverlakes Gen;May-25;18066
Checkers Silverlakes Gen;Jun-25;12974,1
Checkers Silverlakes Gen;Jul-25;13938
Checkers Silverlakes Gen;Aug-25;18460
Checkers Silverlakes Gen;Sept-25;17970
Checkers Silverlakes Gen;Oct-25;22232
Checkers Silverlakes Gen;Nov-25;17351
Checkers Silverlakes Gen;Dec-25;21073
Checkers Silverlakes Gen;Jan-26;22123
Checkers Silverlakes Gen;Feb-26;16600
Checkers Silverlakes Gen;Mar-26;17500
Checkers Silverlakes Gen;Apr-26;15400
Checkers Silverlakes Gen;May-26;15615
Checkers Silverlakes Gen;Jun-26;
Checkers Silverlakes Gen;Jul-26;
